aX,aY,aZ,gX,gY,gZ
-0.069,0.667,1.201,24.353,54.26,8.362
-0.041,0.623,1.134,35.828,43.579,6.714
-0.033,0.583,1.058,40.466,28.625,6.897
-0.031,0.522,0.999,39.49,10.986,8.911
-0.021,0.448,0.936,34.851,-5.798,12.817
-0.024,0.357,0.887,29.297,-20.935,17.883
-0.012,0.314,0.867,23.437,-31.799,21.729
0.01,0.304,0.868,18.25,-36.926,22.949
0.018,0.311,0.898,14.16,-36.682,22.339
0.024,0.299,0.932,11.902,-28.809,19.165
0.031,0.298,0.976,11.658,-16.113,13.489
0.017,0.305,1.035,14.709,-3.662,6.775
0.004,0.307,1.065,21.851,7.69,0.061
0.001,0.322,1.058,30.151,16.785,-5.188
-0.013,0.317,1.009,35.278,21.301,-9.216
-0.017,0.305,0.945,33.508,21.667,-11.658
-0.031,0.308,0.88,25.269,17.761,-12.268
-0.033,0.287,0.861,13.977,9.583,-12.817
-0.057,0.268,0.839,2.258,0.916,-13.306
-0.068,0.292,0.861,-8.423,-2.625,-13.306
-0.092,0.3,0.899,-15.015,-3.052,-11.414
-0.104,0.326,0.939,-17.395,-1.221,-7.69
-0.104,0.334,0.986,-15.625,1.892,-3.906
-0.069,0.324,1.013,-10.742,6.653,-1.648
-0.049,0.308,1.025,-4.089,12.146,-2.136
-0.041,0.302,1.015,3.662,16.541,-4.272
-0.031,0.301,0.987,10.254,19.409,-5.676
-0.008,0.309,0.946,13.794,19.47,-5.554
-0.002,0.288,0.895,12.939,16.174,-5.066
-0.007,0.276,0.846,7.996,10.559,-4.944
-0.023,0.283,0.827,0.977,3.54,-5.066
-0.044,0.285,0.824,-6.592,-3.418,-5.371
-0.07,0.298,0.841,-12.939,-7.874,-5.188
-0.086,0.335,0.883,-16.846,-10.498,-4.395
-0.08,0.348,0.949,-17.273,-9.399,-2.319
-0.038,0.343,1.01,-13.306,-3.845,0.427
-0.015,0.319,1.043,-5.066,3.113,0.854
0,0.316,1.048,5.859,9.033,-0.61
-0.005,0.313,1.026,15.076,12.024,-1.892
-0.018,0.295,0.983,21.301,11.169,-2.014
-0.018,0.295,0.927,23.437,8.057,-1.099
-0.026,0.306,0.87,20.203,3.723,0.122
-0.049,0.3,0.849,11.658,-1.343,-0.244
-0.069,0.286,0.85,2.38,-4.761,-1.038
-0.073,0.295,0.873,-4.456,-6.409,-1.221
-0.065,0.316,0.908,-8.606,-5.737,-0.549
-0.056,0.314,0.954,-10.62,-2.991,1.404
-0.028,0.31,0.997,-8.728,1.221,4.089
0,0.309,1.025,-3.479,6.042,5.554
0.011,0.297,1.029,4.395,8.85,5.127
0.003,0.298,1.006,12.39,9.155,4.456
-0.004,0.305,0.971,17.7,7.69,4.395
-0.02,0.301,0.926,18.982,4.395,4.517
-0.032,0.299,0.89,16.541,0.488,4.7
-0.034,0.302,0.865,11.047,-3.479,4.578
-0.035,0.298,0.867,3.662,-7.996,4.7
-0.034,0.292,0.889,-2.197,-10.193,5.066
-0.027,0.29,0.909,-5.493,-7.324,5.188
-0.024,0.294,0.933,-5.981,-3.723,5.31
-0.014,0.291,0.953,-4.089,-1.221,5.859
0.001,0.29,0.958,-1.465,1.282,5.981
0.003,0.286,0.958,1.526,3.54,5.249
0,0.288,0.947,4.211,4.517,4.883
-0.006,0.295,0.936,5.859,3.479,5.066
-0.004,0.297,0.925,5.249,1.16,5.371
0,0.294,0.918,3.296,-0.61,5.676
0.004,0.297,0.916,0.916,-1.892,5.249
0.011,0.293,0.923,-1.16,-2.686,3.784
0.009,0.297,0.93,-2.136,-2.808,2.258
0.005,0.304,0.937,-2.869,-1.953,0.488
-0.004,0.307,0.949,-3.052,-0.244,-0.793
-0.016,0.309,0.962,-2.441,2.258,-1.099
-0.014,0.313,0.972,-0.183,4.7,-0.732
-0.012,0.311,0.971,2.441,5.188,0.244
-0.01,0.306,0.966,4.822,4.333,1.526
-0.012,0.303,0.952,6.287,3.052,2.625
-0.011,0.302,0.939,6.775,0.916,3.296
-0.01,0.318,0.932,6.775,-1.16,3.845
-0.018,0.32,0.929,5.188,-1.709,4.456
-0.016,0.315,0.929,3.967,-1.16,4.761
-0.015,0.311,0.931,3.296,0.488,4.456
-0.282,-1.541,1.129,-52.429,-44.067,-10.01
-0.325,-1.849,1.145,-68.848,-53.101,-13.428
-0.311,-2.083,1.148,-87.036,-59.998,-17.944
-0.231,-2.192,1.157,-104.065,-62.256,-25.269
-0.082,-2.094,1.151,-116.272,-58.838,-37.537
0.042,-1.856,1.169,-119.629,-52.979,-56.763
0.175,-1.549,1.143,-112.305,-43.457,-77.881
0.268,-1.19,1.091,-96.68,-29.724,-95.764
0.244,-0.817,1.07,-77.637,-13.184,-107.056
0.183,-0.452,1.077,-55.725,4.517,-108.704
0.103,-0.109,1.086,-29.724,24.353,-100.525
-0.029,0.209,1.065,-0.671,43.884,-83.069
-0.027,0.474,1.071,26.672,61.157,-58.044
0.015,0.659,0.96,41.077,59.204,-36.194
0.034,0.769,0.891,47.424,32.349,-23.804
0.085,0.815,0.786,49.866,3.906,-12.695
0.22,1.041,0.582,50.659,-12.085,2.014
0.228,1.359,0.503,58.96,-17.334,19.226
0.13,1.532,0.487,67.017,-3.845,37.903
0.159,1.672,0.495,69.519,25.33,57.007
0.147,1.7,0.552,65.918,56.274,76.904
0.103,1.63,0.554,50.171,77.759,93.384
0.082,1.477,0.557,26.428,74.768,101.196
0.104,1.319,0.603,4.761,43.091,98.877
0.165,1.259,0.677,-11.78,6.836,89.661
0.277,1.303,0.782,-25.33,-10.498,80.322
0.422,1.321,0.857,-38.635,-11.414,66.04
0.42,1.303,0.944,-50.415,-7.874,38.086
0.266,1.199,1.078,-56.152,-0.916,3.906
0.14,1.071,1.178,-54.382,12.756,-24.231
0.064,0.981,1.19,-45.593,22.583,-40.283
-0.006,0.941,1.174,-31.86,22.339,-47.546
-0.084,0.886,1.143,-20.203,15.991,-49.377
-0.132,0.817,1.096,-14.465,8.362,-45.959
-0.182,0.742,1.042,-12.512,-1.77,-36.56
-0.224,0.686,1.019,-10.01,-12.817,-22.278
-0.205,0.658,1.005,-7.263,-22.095,-6.714
-0.176,0.628,0.981,-5.188,-27.161,5.981
-0.146,0.57,0.952,-4.761,-26.306,15.198
-0.083,0.495,0.955,-5.188,-20.813,19.775
0.019,0.423,0.968,-4.089,-14.099,20.142
0.085,0.36,0.958,0.305,-8.362,17.395
0.094,0.333,0.97,7.935,-4.639,13.367
0.091,0.306,0.968,15.747,-0.488,10.376
0.08,0.283,0.941,21.912,5.005,9.216
0.056,0.28,0.92,25.33,9.338,9.338
0.036,0.278,0.909,26.55,12.878,10.315
0.022,0.264,0.893,26.062,14.954,12.268
0.033,0.244,0.889,25.208,13.428,15.259
0.063,0.217,0.882,22.278,9.399,19.653
0.118,0.196,0.882,17.151,4.639,23.926
0.194,0.162,0.894,11.902,0.732,25.757
0.256,0.14,0.899,7.996,-1.892,20.935
0.25,0.127,0.909,6.775,-2.686,9.216
0.212,0.126,0.912,6.226,-0.488,-2.869
0.16,0.156,0.893,4.761,2.991,-12.756
0.093,0.187,0.883,1.221,5.798,-20.874
0.021,0.232,0.9,-2.625,8.362,-25.452
-0.049,0.273,0.945,-5.127,10.193,-24.78
-0.077,0.252,0.984,-5.127,11.963,-18.982
-0.038,0.232,0.993,-1.709,12.634,-9.766
0.013,0.215,0.992,4.028,10.803,0.488
0.116,0.192,0.984,7.751,6.287,7.019
0.227,0.167,0.971,9.827,-0.305,4.761
0.279,0.141,0.948,12.695,-4.456,-7.202
0.242,0.125,0.907,18.005,-5.127,-23.865
0.151,0.137,0.869,22.461,-1.587,-36.804
0.078,0.183,0.839,21.79,5.859,-41.87
0.019,0.214,0.826,15.015,12.329,-41.382
-0.027,0.234,0.857,6.104,13.855,-37.354
-0.086,0.27,0.9,-1.648,10.254,-29.48
-0.104,0.276,0.976,-5.92,6.042,-17.944
-0.084,0.254,0.995,-7.568,1.709,-3.418
-0.044,0.259,0.998,-6.775,-2.869,10.498
0.003,0.258,1.001,-4.272,-6.165,20.935
0.036,0.244,1.002,-0.854,-7.324,24.902
0.055,0.237,0.998,5.188,-5.554,24.048
0.062,0.256,0.975,12.39,-1.526,20.447
0.047,0.26,0.949,16.235,4.944,14.954
0.032,0.254,0.934,15.625,10.01,9.216
0.039,0.223,0.917,11.658,10.864,6.165
0.042,0.203,0.893,6.104,7.202,7.141
0.05,0.195,0.896,0.671,0.732,9.277
0.058,0.201,0.911,-4.089,-5.005,11.353
0.052,0.187,0.935,-7.812,-9.766,13.062
0.073,0.189,0.957,-8.972,-12.268,14.465
0.088,0.196,0.979,-7.69,-13,13.55
0.086,0.188,0.985,-4.211,-10.254,9.277
0.08,0.187,0.973,0.122,-4.272,5.066
0.069,0.187,0.946,3.174,1.16,2.319
0.065,0.2,0.919,2.747,4.395,0.916
0.06,0.202,0.908,-0.732,5.31,-0.244
0.058,0.204,0.907,-6.165,4.7,-0.916
0.048,0.217,0.917,-11.047,2.258,-0.671
0.041,0.225,0.93,-14.343,-0.061,0.305
0.042,0.237,0.934,-16.479,-1.77,1.892
0.043,0.241,0.936,-17.578,-2.93,3.54
0.045,0.245,0.94,-17.517,-3.967,4.822
0.054,0.247,0.953,-15.93,-3.54,5.066
0.063,0.251,0.961,-13.123,-0.916,3.906
0.073,0.264,0.967,-10.132,3.54,2.197
0.07,0.265,0.961,-7.874,7.202,-0.427
0.065,0.265,0.956,-6.775,9.155,-2.808
0.065,0.267,0.944,-6.836,9.338,-3.906
0.053,0.257,0.926,-8.118,7.751,-4.028
0.039,0.241,0.92,-9.827,4.578,-3.54
0.032,0.236,0.929,-11.108,0.854,-2.258
0.038,0.251,0.944,-11.536,-1.282,0.427
0.044,0.26,0.96,-11.23,-2.686,4.028
0.054,0.263,0.971,-9.766,-3.723,7.568
0.067,0.272,0.98,-7.507,-3.784,10.742
0.076,0.284,0.982,-5.249,-3.662,13.306
0.081,0.285,0.984,-4.028,-4.7,14.893
0.094,0.28,0.988,-3.235,-6.531,14.587
0.1,0.271,0.987,-2.075,-7.629,11.719
0.092,0.275,0.981,-0.488,-7.019,8.728
0.077,0.284,0.967,0.122,-5.493,6.714
0.069,0.29,0.958,-0.549,-5.249,5.676
0.066,0.294,0.943,-2.136,-6.042,5.859
0.385,1.619,0.767,45.532,2.075,23.315
0.309,1.63,0.717,50.781,27.039,31.006
0.2,1.493,0.618,35.767,43.213,37.109
0.145,1.357,0.6,13.123,35.95,43.945
0.151,1.256,0.626,-13.123,5.615,47.18
0.165,1.126,0.709,-35.156,-34.058,35.828
0.121,0.998,0.795,-43.701,-66.528,18.799
0.124,0.962,0.841,-39.063,-76.355,7.507
0.106,0.932,0.872,-24.292,-69.519,3.174
0.057,0.905,0.867,-7.141,-51.208,1.953
0.029,0.872,0.86,5.92,-25.94,-0.671
-0.034,0.792,0.861,11.658,-1.648,-2.747
-0.055,0.804,0.84,8.789,17.639,-2.258
-0.036,0.782,0.847,1.587,26.123,2.686
-0.006,0.736,0.884,-8.24,24.78,8.911
0.018,0.669,0.93,-18.25,19.165,12.939
0.083,0.591,0.985,-22.278,11.597,10.742
0.097,0.539,1.025,-19.409,2.869,3.479
0.057,0.518,1.059,-12.573,-2.014,-2.502
0.024,0.494,1.069,-5.554,-1.648,-5.249
0.002,0.465,1.056,0.916,-0.305,-4.395
0.005,0.442,1.036,6.165,-0.366,-1.343
0.023,0.416,1.002,8.423,-2.625,1.831
0.029,0.392,0.975,7.812,-6.226,4.272
0.049,0.391,0.962,5.005,-9.827,5.676
0.067,0.396,0.949,0.122,-10.986,5.798
0.061,0.375,0.945,-5.127,-11.292,2.686
0.038,0.373,0.942,-8.301,-10.864,-2.014
-0.007,0.365,0.947,-8.301,-7.507,-4.639
-0.028,0.343,0.942,-5.737,-2.93,-4.639
-0.034,0.325,0.935,-1.343,1.77,-3.174
-0.033,0.313,0.936,3.662,6.226,-0.122
-0.02,0.304,0.932,7.324,8.301,3.601
-0.003,0.283,0.927,8.789,7.69,6.958
0.021,0.276,0.908,8.301,5.493,9.277
0.049,0.269,0.897,5.737,1.404,9.766
0.089,0.258,0.899,1.221,-1.282,7.08
0.097,0.245,0.905,-2.747,-2.502,0.122
0.073,0.243,0.912,-5.798,-1.953,-6.958
0.049,0.265,0.912,-8.789,-0.488,-12.695
0.014,0.288,0.933,-11.536,1.404,-16.479
-0.048,0.294,0.971,-12.024,2.869,-17.7
-0.089,0.288,1.001,-9.338,4.272,-13.672
-0.078,0.299,1.001,-4.883,3.052,-5.737
-0.06,0.303,0.984,-1.282,-1.038,3.296
-0.047,0.294,0.968,0.61,-5.066,10.742
-0.029,0.288,0.96,1.587,-8.118,15.564
-0.009,0.281,0.957,2.502,-9.644,16.907
0.019,0.273,0.959,3.296,-8.301,15.625
0.04,0.264,0.953,4.15,-5.249,10.864
0.037,0.265,0.948,4.395,-2.808,4.883
0.019,0.267,0.944,2.502,-1.16,0.61
-0.004,0.259,0.939,-0.977,-0.732,-1.465
-0.022,0.257,0.943,-3.784,-0.732,-2.625
-0.042,0.264,0.959,-4.822,-0.244,-2.991
-0.066,0.262,0.972,-4.15,0.244,-2.075
-0.076,0.258,0.982,-1.953,0.061,0.732
-0.062,0.272,0.976,0.916,0.305,5.31
-0.041,0.28,0.978,2.747,-0.183,9.033
-0.014,0.286,0.98,3.723,-1.038,10.742
-0.001,0.288,0.973,4.15,-0.854,9.705
0.001,0.288,0.97,4.395,1.282,6.287
-0.005,0.28,0.966,4.272,3.845,2.625
-0.008,0.275,0.959,3.845,5.859,-0.122
-0.007,0.268,0.952,3.967,7.141,-1.404
-0.012,0.264,0.946,4.761,7.874,-2.38
-0.023,0.27,0.942,5.493,7.935,-2.197
-0.032,0.272,0.943,4.883,6.287,-1.221
-0.035,0.271,0.952,2.808,3.601,0.549
-0.023,0.271,0.957,0.916,-0.549,2.808
-0.003,0.276,0.972,0.244,-4.272,5.127
0.017,0.268,0.962,0.305,-5.981,6.775
0.015,0.254,0.949,1.282,-5.432,7.08
0.008,0.256,0.931,2.808,-3.601,6.409
0.002,0.257,0.922,3.174,-1.648,4.883
0,0.251,0.912,2.075,-0.122,3.723
-0.003,0.246,0.915,0.305,1.282,2.869
0,0.249,0.933,-1.099,3.418,2.38
0.004,0.245,0.953,-1.404,4.883,1.709
0.003,0.246,0.973,0.061,5.981,1.465
0.009,0.253,0.984,2.625,6.287,1.526
0.021,0.255,0.982,5.005,5.554,2.075
0.03,0.255,0.968,6.409,3.662,2.075
0.033,0.263,0.953,6.775,1.465,1.709
0.024,0.258,0.932,5.676,0.061,1.038
0.012,0.26,0.923,2.93,-0.793,0.305
-0.001,0.26,0.921,0.122,-2.075,0.183
-0.003,0.258,0.925,-2.502,-3.357,0.305
0.005,0.262,0.938,-4.211,-3.845,0.732
0.001,0.265,0.952,-4.272,-2.93,0.427
-0.002,0.269,0.962,-2.563,-1.038,0.305
-0.006,0.276,0.964,-0.183,0.61,1.099
-0.003,0.285,0.959,2.563,1.892,2.563
-0.004,0.286,0.952,4.456,2.441,3.723
-0.013,0.279,0.941,5.432,1.221,4.822
-0.012,0.277,0.934,5.554,-0.793,6.226
0.001,0.278,0.927,4.883,-2.808,7.629
0.006,0.271,0.925,3.906,-3.845,7.446
0.005,0.275,0.927,3.113,-3.479,6.409
0.008,0.28,0.937,2.502,-2.686,5.371
0.007,0.277,0.943,2.136,-1.831,4.578
-0.002,0.271,0.952,2.563,-0.732,4.333
-0.009,0.259,0.951,3.601,0.122,4.7
-0.015,0.25,0.946,4.456,0.122,5.981
-0.011,0.256,0.942,4.822,-0.671,7.568
-0.011,0.267,0.938,4.883,-1.77,9.033
-0.009,0.269,0.936,4.639,-2.502,10.376
-0.001,0.279,0.933,3.967,-3.357,11.597
0,0.29,0.935,3.052,-4.028,12.207
0.002,0.297,0.944,1.648,-4.7,12.451
0.001,0.294,0.948,0.488,-5.92,10.925
0,0.305,0.956,0.427,-6.958,8.667
-0.013,0.312,0.958,0.793,-6.531,5.981
-0.023,0.321,0.959,1.953,-4.7,4.333
-0.037,0.322,0.962,3.662,-1.343,3.54
-0.046,0.329,0.962,6.226,4.517,4.089
-0.051,0.336,0.955,9.033,9.399,5.92
-0.053,0.328,0.947,11.047,10.498,8.667
-0.05,0.328,0.938,11.536,9.277,11.597
0.068,-1.339,1.143,-57.617,-35.889,-74.341
0.083,-1.306,1.161,-56.274,-26.062,-95.886
0.082,-1.265,1.178,-55.908,-15.564,-114.014
0.043,-1.221,1.177,-57.434,-6.592,-125.671
0.008,-1.144,1.158,-60.12,-2.075,-132.324
-0.015,-1.04,1.129,-63.904,-1.526,-134.644
-0.08,-0.917,1.122,-67.261,-3.784,-131.836
-0.156,-0.82,1.105,-68.787,-7.812,-122.925
-0.199,-0.681,1.055,-65.002,-12.146,-106.812
-0.2,-0.519,1.007,-53.955,-15.015,-83.923
-0.2,-0.33,0.951,-38.818,-11.658,-54.688
-0.148,-0.086,0.881,-18.555,0.488,-20.447
-0.056,0.155,0.82,6.409,18.921,14.648
0.072,0.454,0.82,31.982,37.903,51.941
0.232,0.756,0.763,52.979,47.974,83.252
0.455,1.106,0.748,69.458,47.729,99.731
0.569,1.338,0.756,79.224,45.166,97.717
0.6,1.342,0.718,75.745,32.471,69.031
0.622,1.146,0.657,69.641,6.775,26.245
0.514,1,0.537,67.993,-11.78,0.977
0.375,1.009,0.466,64.026,-9.705,-1.343
0.296,1.064,0.404,50.842,2.197,6.531
0.252,1.123,0.43,24.048,4.211,16.418
0.246,1.196,0.485,-11.475,-4.089,24.17
0.195,1.297,0.626,-44.8,-14.832,29.297
0.13,1.336,0.825,-69.458,-20.325,26.733
0.099,1.34,1.047,-78.003,-20.264,13.55
0.089,1.256,1.212,-67.322,-18.494,-5.066
0.032,1.151,1.292,-42.48,-14.16,-21.484
-0.042,1.032,1.264,-13.489,-6.287,-28.87
-0.057,0.908,1.118,9.827,2.686,-26.855
-0.09,0.838,0.973,22.766,8.545,-18.677
-0.099,0.808,0.876,20.569,12.939,-11.23
-0.119,0.744,0.855,2.991,13.489,-7.019
-0.136,0.684,0.894,-20.203,7.263,-2.93
-0.126,0.638,0.965,-38.025,-3.235,2.686
-0.083,0.583,1.054,-46.082,-12.085,6.348
-0.063,0.529,1.137,-41.687,-15.137,4.883
-0.066,0.51,1.211,-26.367,-10.193,1.526
-0.067,0.5,1.232,-5.615,-0.61,1.221
-0.051,0.458,1.169,14.343,7.019,5.493
-0.029,0.405,1.091,29.114,11.169,11.169
0,0.36,0.994,36.499,10.559,17.456
0.017,0.332,0.911,35.889,5.737,21.851
0.024,0.306,0.867,27.71,-0.549,23.804
0.063,0.293,0.866,15.747,-5.981,21.24
0.069,0.286,0.892,4.517,-10.559,14.404
0.047,0.233,0.926,-2.38,-11.597,3.479
0.013,0.19,0.955,-2.869,-6.348,-4.639
-0.009,0.188,0.973,1.953,0.854,-7.568
-0.006,0.195,0.986,7.812,6.531,-6.409
0.014,0.201,0.984,11.414,8.789,-2.319
0.05,0.207,0.986,12.085,7.812,2.625
0.083,0.2,0.968,10.01,4.456,6.836
0.071,0.172,0.946,7.446,0.061,9.399
0.088,0.167,0.901,4.578,-3.174,9.521
0.061,0.167,0.882,0.793,-6.47,8.789
0.03,0.15,0.861,-3.113,-7.568,6.897
0.04,0.155,0.871,-6.226,-4.639,2.441
0.032,0.17,0.89,-7.385,-0.671,-2.563
0.015,0.173,0.924,-8.118,4.395,-5.432
-0.006,0.177,0.961,-6.775,7.935,-5.432
-0.019,0.17,0.98,-3.174,7.996,-2.502
0.001,0.172,0.992,1.892,6.897,2.38
0.021,0.193,0.976,6.714,5.676,7.69
0.028,0.215,0.976,9.155,4.578,10.01
0.046,0.22,0.955,8.667,2.991,9.033
0.042,0.215,0.942,6.897,0.671,6.165
0.034,0.212,0.945,4.333,-1.038,3.784
0.027,0.203,0.954,1.038,-1.953,2.991
0.041,0.187,0.954,-2.014,-2.686,0.732
0.019,0.181,0.971,-2.991,-4.578,-1.526
-0.004,0.187,0.981,-2.808,-5.31,-2.563
-0.032,0.187,0.997,-2.075,-6.348,-1.587
-0.047,0.2,1.002,0.305,-6.714,0.977
-0.031,0.201,1.013,4.639,-4.883,4.211
-0.031,0.202,1.012,8.545,-5.127,9.583
-0.008,0.206,0.993,10.864,-7.568,14.771
0.006,0.201,0.976,10.681,-11.047,18.433
0.018,0.204,0.967,8.118,-13.367,19.592
0.018,0.191,0.958,5.127,-15.259,16.663
0.002,0.188,0.948,3.235,-15.198,12.817
-0.006,0.198,0.949,2.197,-12.939,9.705
-0.014,0.195,0.958,1.404,-9.583,7.507
-0.018,0.188,0.962,0.977,-6.714,5.859
-0.025,0.183,0.974,0.793,-5.31,5.005
-0.039,0.175,0.994,0.854,-5.798,6.226
-0.04,0.163,1.001,2.136,-7.996,9.399
-0.036,0.163,0.998,4.7,-10.071,12.634
-0.002,0.166,0.979,7.446,-7.446,15.259
0.017,0.166,0.95,9.827,-4.028,15.808
0.03,0.162,0.929,11.414,-1.587,14.221
0.025,0.156,0.911,9.827,2.441,11.353
0.025,0.162,0.92,5.676,6.47,8.667
0.042,0.161,0.906,-1.16,6.897,6.775
0.029,0.158,0.91,-8.057,2.258,4.272
0.011,0.158,0.92,-12.756,-2.197,0.732
-0.008,0.16,0.93,-15.808,-4.456,-2.014
-0.021,0.169,0.94,-16.968,-6.409,-2.502
-0.031,0.177,0.962,-15.747,-7.324,-1.587
-0.027,0.18,0.96,-12.268,-5.737,-0.854
0,0.207,0.955,-6.958,-4.822,-1.526
-0.001,0.226,0.944,-3.052,-3.601,-2.441
-0.004,0.243,0.938,-2.93,-2.441,-3.601
-0.015,0.258,0.943,-6.226,-2.502,-4.15
-0.025,0.248,0.956,-10.986,-2.808,-3.723
-0.023,0.243,0.958,-14.343,-2.502,-3.906
-0.024,0.24,0.971,-14.709,-2.319,-5.554
-0.038,0.232,0.981,-13.367,-0.61,-7.507
-0.047,0.223,0.99,-10.986,1.709,-7.263
-0.046,0.221,0.995,-7.751,4.028,-5.371
-0.043,0.208,1.003,-5.432,5.371,-3.54
-0.039,0.201,1.021,-3.357,6.165,-1.099
-0.019,0.208,1.035,-1.16,5.127,1.526
-0.014,0.214,1.036,0.549,3.174,2.93
-0.004,0.226,1.039,2.563,1.831,3.174
0.004,0.211,1.046,4.7,1.709,2.625
0.001,0.213,1.02,5.615,2.93,1.526
0.007,0.213,1.01,7.202,4.028,0.671
